baseline_id,task_id,status,validation_ok,n_predictions,macro_f1,balanced_accuracy,auroc,calibration_error,mission_discrimination,output_dir,predictions,metrics,run_manifest,error
pca_logistic_regression,A1_liver_bulk_lomo,evaluated,True,193,0.5247317058,0.5316576698,0.5537561853,0.4048570759,0.9948186528,v9/reports/sklearn_baselines/pca_logistic_regression/A1_liver_bulk_lomo,v9/reports/sklearn_baselines/pca_logistic_regression/A1_liver_bulk_lomo/predictions.csv,v9/reports/sklearn_baselines/pca_logistic_regression/A1_liver_bulk_lomo/metrics.json,v9/reports/sklearn_baselines/pca_logistic_regression/A1_liver_bulk_lomo/run_manifest.json,
pca_logistic_regression,A1_liver_bulk_lomo_combat,evaluated,True,193,0.5551264781,0.5579734593,0.5207489879,0.3435338628,0.8756476684,v9/reports/sklearn_baselines/pca_logistic_regression/A1_liver_bulk_lomo_combat,v9/reports/sklearn_baselines/pca_logistic_regression/A1_liver_bulk_lomo_combat/predictions.csv,v9/reports/sklearn_baselines/pca_logistic_regression/A1_liver_bulk_lomo_combat/metrics.json,v9/reports/sklearn_baselines/pca_logistic_regression/A1_liver_bulk_lomo_combat/run_manifest.json,
pca_logistic_regression,A1_liver_bulk_lomo_iss_only,evaluated,True,187,0.4952766532,0.5111751983,0.5586998318,0.416356626,0.9906417112,v9/reports/sklearn_baselines/pca_logistic_regression/A1_liver_bulk_lomo_iss_only,v9/reports/sklearn_baselines/pca_logistic_regression/A1_liver_bulk_lomo_iss_only/predictions.csv,v9/reports/sklearn_baselines/pca_logistic_regression/A1_liver_bulk_lomo_iss_only/metrics.json,v9/reports/sklearn_baselines/pca_logistic_regression/A1_liver_bulk_lomo_iss_only/run_manifest.json,
pca_logistic_regression,A2_gastrocnemius_bulk_lomo,evaluated,True,32,0.3333333333,0.5,0.7734375,0.4747331023,0.953125,v9/reports/sklearn_baselines/pca_logistic_regression/A2_gastrocnemius_bulk_lomo,v9/reports/sklearn_baselines/pca_logistic_regression/A2_gastrocnemius_bulk_lomo/predictions.csv,v9/reports/sklearn_baselines/pca_logistic_regression/A2_gastrocnemius_bulk_lomo/metrics.json,v9/reports/sklearn_baselines/pca_logistic_regression/A2_gastrocnemius_bulk_lomo/run_manifest.json,
pca_logistic_regression,A3_kidney_bulk_lomo,evaluated,True,118,0.6253968254,0.6177325581,0.6696947674,0.2685793514,0.8728813559,v9/reports/sklearn_baselines/pca_logistic_regression/A3_kidney_bulk_lomo,v9/reports/sklearn_baselines/pca_logistic_regression/A3_kidney_bulk_lomo/predictions.csv,v9/reports/sklearn_baselines/pca_logistic_regression/A3_kidney_bulk_lomo/metrics.json,v9/reports/sklearn_baselines/pca_logistic_regression/A3_kidney_bulk_lomo/run_manifest.json,
pca_logistic_regression,A4_thymus_bulk_lomo,evaluated,True,67,0.5667781494,0.5677361854,0.63057041,0.4195413406,0.8756218905,v9/reports/sklearn_baselines/pca_logistic_regression/A4_thymus_bulk_lomo,v9/reports/sklearn_baselines/pca_logistic_regression/A4_thymus_bulk_lomo/predictions.csv,v9/reports/sklearn_baselines/pca_logistic_regression/A4_thymus_bulk_lomo/metrics.json,v9/reports/sklearn_baselines/pca_logistic_regression/A4_thymus_bulk_lomo/run_manifest.json,
pca_logistic_regression,A5_skin_bulk_lomo,evaluated,True,102,0.655952381,0.6617826618,0.7297517298,0.2634950433,0.7892156863,v9/reports/sklearn_baselines/pca_logistic_regression/A5_skin_bulk_lomo,v9/reports/sklearn_baselines/pca_logistic_regression/A5_skin_bulk_lomo/predictions.csv,v9/reports/sklearn_baselines/pca_logistic_regression/A5_skin_bulk_lomo/metrics.json,v9/reports/sklearn_baselines/pca_logistic_regression/A5_skin_bulk_lomo/run_manifest.json,
pca_logistic_regression,A6_eye_bulk_lomo,evaluated,True,37,0.5256410256,0.5470588235,0.7205882353,0.4061043869,1,v9/reports/sklearn_baselines/pca_logistic_regression/A6_eye_bulk_lomo,v9/reports/sklearn_baselines/pca_logistic_regression/A6_eye_bulk_lomo/predictions.csv,v9/reports/sklearn_baselines/pca_logistic_regression/A6_eye_bulk_lomo/metrics.json,v9/reports/sklearn_baselines/pca_logistic_regression/A6_eye_bulk_lomo/run_manifest.json,
logistic_regression_l2,A1_liver_bulk_lomo,evaluated,True,193,0.5444904215,0.55105713,0.6467611336,0.341385486,,v9/reports/sklearn_baselines/logistic_regression_l2/A1_liver_bulk_lomo,v9/reports/sklearn_baselines/logistic_regression_l2/A1_liver_bulk_lomo/predictions.csv,v9/reports/sklearn_baselines/logistic_regression_l2/A1_liver_bulk_lomo/metrics.json,v9/reports/sklearn_baselines/logistic_regression_l2/A1_liver_bulk_lomo/run_manifest.json,
logistic_regression_l2,A1_liver_bulk_lomo_combat,evaluated,True,193,0.6029589968,0.6027327935,0.623594242,0.240799511,,v9/reports/sklearn_baselines/logistic_regression_l2/A1_liver_bulk_lomo_combat,v9/reports/sklearn_baselines/logistic_regression_l2/A1_liver_bulk_lomo_combat/predictions.csv,v9/reports/sklearn_baselines/logistic_regression_l2/A1_liver_bulk_lomo_combat/metrics.json,v9/reports/sklearn_baselines/logistic_regression_l2/A1_liver_bulk_lomo_combat/run_manifest.json,
